city,year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm
sj,1990,23,1990-06-04,,0.17485,0.2543143,0.1817429,9.58,299.63,299.764285714,295.851428571,302.4,298.1,26.49,79.8914285714,9.58,17.2128571429,2.1,28.1142857143,6.94285714286,34.4,23.9,39.1
sj,1990,27,1990-07-02,,0.12155,0.1606833,0.2025667,14.41,300.154285714,300.278571429,296.651428571,302.3,298.7,28.4,81.2814285714,14.41,18.0714285714,2.01428571429,28.3285714286,6.51428571429,33.9,24.4,1.1
sj,1990,31,1990-07-30,,0.24715,0.3797,0.3813571,32.66,299.862857143,299.95,296.172857143,303.0,298.3,34.6,80.5842857143,32.66,17.5942857143,2.58571428571,28.2428571429,8.08571428571,34.4,22.8,37.6
sj,1990,32,1990-08-06,,0.06433333,0.1644429,0.1388571,28.8,300.391428571,300.478571429,296.532857143,302.5,298.8,20.0,79.65,28.8,17.95,2.32857142857,28.2,7.55714285714,33.3,23.3,11.4
sj,1990,33,1990-08-13,,0.1280333,0.2069571,0.1682429,90.75,299.958571429,299.957142857,297.035714286,302.6,298.5,101.9,84.1785714286,90.75,18.5157142857,1.85714285714,28.0428571429,6.68571428571,32.8,22.8,44.7
sj,1990,42,1990-10-15,,0.0702,0.1816167,0.16575,143.55,299.195714286,299.307142857,296.544285714,301.5,297.5,279.6,85.6214285714,143.55,18.1157142857,1.87142857143,27.6285714286,7.4,32.8,23.3,61.8
sj,1991,2,1991-01-08,,0.1004667,0.2519,0.1376167,15.85,297.674285714,297.828571429,293.282857143,299.3,295.8,26.33,76.6285714286,15.85,14.6714285714,1.88571428571,24.9142857143,6.31428571429,28.3,21.1,31.7
sj,1991,3,1991-01-15,,0.2935667,0.2599429,0.2179,0.0,297.422857143,297.657142857,293.412857143,299.3,296.1,27.4,78.5,0.0,14.7985714286,2.0,25.2428571429,6.57142857143,29.4,21.1,16.5
sj,1991,8,1991-02-19,,0.2094,0.1084333,0.1194,0.0,297.414285714,297.614285714,293.631428571,300.1,295.8,26.2,79.74,0.0,15.0357142857,2.57142857143,25.8428571429,8.47142857143,32.2,20.0,17.8
sj,1991,11,1991-03-12,,,0.21325,0.2405429,0.0,297.431428571,297.635714286,293.335714286,300.1,295.7,13.37,78.1385714286,0.0,14.7871428571,2.72857142857,25.9285714286,8.97142857143,31.7,20.6,3.6
